Step,TotEng
0,-108598.46
100,-108598.35
200,-108598.36
300,-108598.37
400,-108598.34
500,-108598.37
600,-108598.36
700,-108598.36
800,-108598.36
900,-108598.36
1000,-108598.36
1100,-108598.36
1200,-108598.36
1300,-108598.36
1400,-108598.36
1500,-108598.36
1600,-108598.36
1700,-108598.36
1800,-108598.36
1900,-108598.36
2000,-108598.36
2100,-108598.36
2200,-108598.36
2300,-108598.36
2400,-108598.36
2500,-108598.36
2600,-108598.36
2700,-108598.36
2800,-108598.36
2900,-108598.36
3000,-108598.36
3100,-108598.36
3200,-108598.36
3300,-108598.36
3400,-108598.36
3500,-108598.36
3600,-108598.36
3700,-108598.36
3800,-108598.36
3900,-108598.36
4000,-108598.36
4100,-108598.36
4200,-108598.36
4300,-108598.36
4400,-108598.36
4500,-108598.36
4600,-108598.36
4700,-108598.36
4800,-108598.36
4900,-108598.36
5000,-108598.36
5100,-108598.36
5200,-108598.36
5300,-108598.36
5400,-108598.36
5500,-108598.36
5600,-108598.36
5700,-108598.36
5800,-108598.36
5900,-108598.36
6000,-108598.36
6100,-108598.36
6200,-108598.36
6300,-108598.36
6400,-108598.36
6500,-108598.36
6600,-108598.36
6700,-108598.36
6800,-108598.36
6900,-108598.36
7000,-108598.36
7100,-108598.36
7200,-108598.36
7300,-108598.36
7400,-108598.36
7500,-108598.36
7600,-108598.36
7700,-108598.36
7800,-108598.36
7900,-108598.36
8000,-108598.36
8100,-108598.36
8200,-108598.36
8300,-108598.36
8400,-108598.36
8500,-108598.36
8600,-108598.36
8700,-108598.36
8800,-108598.36
8900,-108598.36
9000,-108598.36
9100,-108598.36
9200,-108598.36
9300,-108598.36
9400,-108598.36
9500,-108598.36
9600,-108598.36
9700,-108598.36
9800,-108598.36
9900,-108598.36
10000,-108598.36
